,,,Search Result Columns,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Downloaded on:,14-Jul-2026,,,,,,,,,,,,,,,,,,,,
Created for:,"Stewart Neifert, Johns Hopkins Technology Ventures",,,,,,,,,,,,,,,,,,,,
Search Link:,https://my.pitchbook.com/?pcc=1356759-82,,,,,,,,,,,,,,,,,,,,
Search Criteria:,Investor Types: Angels/Incubators; Venture Capital; Assets Under Management: Min: 25M; Fund Strategy: Venture Capital; Fund Vintage Year: From: 2016; Fund Status: Open Funds; Deal Types: All VC Stages; All Series; Investors with Funds having invested in Deals matching criteria; ,,,,,,,,,,,,,,,,,,,,
* All investments represented are equity and add-on investments,,,,,,,,,,,,,,,,,,,,,
Investor ID,Investors,Last Investment Company,Preferred Investment Types,Preferred Geography,Preferred Deal Size,Dry Powder,Preferred Investment Amount,Preferred Verticals,Preferred PitchBook Industry,Investments,Active Portfolio,Investments in the last 6 months,Investments in the last 12 months,Investments in the last 2 years,Investments in the last 5 years,Primary Investor Type,AUM,HQ Location,Investor Status,Description,View Investor Online
121238-02,New York Ventures,Crew Carbon,"Early Stage VC, Seed Round",New York,,,0.05 - 3.00,"Advanced Manufacturing, AgTech, Artificial Intelligence & Machine Learning, Big Data, CleanTech, Climate Tech, Digital Health, FinTech, HealthTech, Life Sciences, Manufacturing, SaaS, TMT","Agriculture, Biotechnology, Business Products and Services (B2B), Communications and Networking, Computer Hardware, Consumer Products and Services (B2C), Energy, Healthcare Devices and Supplies, Healthcare Technology Systems, IT Services, Other Healthcare, Other Information Technology, Semiconductors, Software",100,55,,,5,51,Corporate Venture Capital,317.00,"New York, NY",Actively Seeking New Investments,"Founded in 2015, New York Ventures is the venture capital arm of Empire State Development, based in New York. The firm prefers to invest in early-stage companies in advanced manufacturing, agtech & climate and energy tech, consumer tech & data, software as a service, artificial intelligence and biotech, and medical devices sectors.",View Investor Online
185184-19,CAS Star,ENN Fusion Technology,"Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed Round",,,,,"Advanced Manufacturing, Artificial Intelligence & Machine Learning, CleanTech, Life Sciences, Manufacturing, Oncology, Robotics and Drones, SaaS, Space Technology","Aerospace and Defense, Energy, Materials and Resources, Pharmaceuticals and Biotechnology, Semiconductors, Software",89,87,13,35,67,89,Venture Capital,"2,358.48","Xi'an, China",Actively Seeking New Investments,"Founded in 2013, CAS Star is a venture capital firm based in Xi'an, China with an additional office in Beijing. The firm seeks to invest in optoelectronic chips, artificial intelligence, biotechnology, aerospace, smart manufacturing, information technology, energy, oncology, advanced manufacturing, SaaS & space technology sectors.",View Investor Online
54789-49,Aramco Ventures,Captura,"Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round","Middle East, Northern Africa",,,0.26 - 25.84,"Advanced Manufacturing, Artificial Intelligence & Machine Learning, Augmented Reality, CleanTech, Climate Tech, CloudTech & DevOps, Cryptocurrency/Blockchain, Cybersecurity, FinTech, HealthTech, Industrials, Manufacturing, Robotics and Drones, SaaS, TMT","Chemicals and Gases, Commercial Products, Energy Equipment, Energy Production, Energy Storage, Other Energy, Other Energy Services, Software",83,44,,8,28,44,Corporate Venture Capital,"7,500.00","Dhahran, Saudi Arabia",Actively Seeking New Investments,"Founded in 2012, Aramco Ventures is the corporate venture capital arm of Aramco, based in Dhahran, Saudi Arabia. The firm prefers to invest in carbon management, renewables & energy storage, hydrogen, ammonia, low carbon fuels, greenhouse gas measurement, energy efficiency, water & air quality, artificial intelligence & analytics sectors.",View Investor Online
226139-77,Pioneer Fund,Fleek Commerce,"Early Stage VC, Seed Round","Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States",,27.20,0.01 - 4.00,"3D Printing, AdTech, Advanced Manufacturing, AgTech, Artificial Intelligence & Machine Learning, AudioTech, Augmented Reality, Autonomous cars, B2B Payments, Beauty, Big Data, Car-Sharing, CleanTech, Climate Tech, CloudTech & DevOps, Construction Technology, Cryptocurrency/Blockchain, Cybersecurity, Digital Health, E-Commerce, EdTech, Ephemeral Content, Esports, FemTech, FinTech, FoodTech, Gaming, HealthTech, HR Tech, Impact Investing, Industrials, Infrastructure, InsurTech, Internet of Things, Legal Tech, Life Sciences, LOHAS & Wellness, Manufacturing, Marketing Tech, Micro-Mobility, Mobile, Mobile Commerce, Mobility Tech, Mortgage Tech, Nanotechnology, Oil & Gas, Oncology, Pet Technology, Real Estate Technology, Restaurant Technology, Ridesharing, Robotics and Drones, SaaS, Space Technology, Supply Chain Tech, TMT, Virtual Reality, Wearables & Quantified Self","Business Products and Services (B2B), Consumer Products and Services (B2C), Energy, Financial Services, Healthcare, Materials and Resources, Other Information Technology, Software",47,42,,1,3,47,Venture Capital,272.00,"San Francisco, CA",Actively Seeking New Investments,"Founded in 2017, Pioneer Fund is a venture capital firm based in San Francisco, California. The firm seeks to invest in consumer products, consumer services, financial services, information technology, advanced manufacturing, blockchain, life sciences, gaming, artificial intelligence, machine learning, construction technology, education technology, financial technology, agriculture technology, advertisement technology, augmented reality, autonomous cars, legal technology, oncology, pet technology, real estate technology, ride-sharing, SaaS & supply chain technology sectors.",View Investor Online
174245-86,NLC Health Ventures,IntercepTx,"Accelerator/Incubator, Early Stage VC, Seed Round","Europe, United States",,,0.17,"Digital Health, HealthTech, Impact Investing, Life Sciences",Healthcare,45,38,2,4,10,45,Venture Capital,129.70,"Amsterdam, Netherlands",Actively Seeking New Investments,"Founded in 2014, NLC is a venture builder firm based in Amsterdam, Netherlands. The firm focuses on the health tech sector.",View Investor Online
63176-32,Thrive AgriFood,CDotBio,Accelerator/Incubator,"Africa, Asia, Australia, Europe, Middle East, New Zealand, South America, United States",,0.00,,"AgTech, CleanTech, Climate Tech, FoodTech, Impact Investing, Life Sciences, LOHAS & Wellness, Supply Chain Tech","Agriculture, Beverages, Food Products, Logistics, Pharmaceuticals and Biotechnology",43,19,1,1,5,35,Accelerator/Incubator,25.00,"Los Gatos, CA",Actively Seeking New Investments,"Founded in 2013, SVG Ventures|THRIVE is an accelerator/incubator based in Los Gatos, California. The firm prefers to invest in agrifood, supply chain, sustainability, and climate sectors.",View Investor Online
54647-83,ACF Investors,Dogtooth,"Add-on, Convertible Debt, Early Stage VC, Later Stage VC, PE Growth/Expansion",United Kingdom,51.89,,0.13 - 1.33,"Artificial Intelligence & Machine Learning, Digital Health, FinTech, HealthTech, TMT","Other Business Products and Services, Other Consumer Products and Services, Other Energy, Other Financial Services, Other Healthcare, Other Information Technology, Other Materials, Software",39,13,,,,3,Venture Capital,172.97,"Sheffield, United Kingdom",Actively Seeking New Investments,"Founded in 2011, ACF Investors is an angel group headquartered in Sheffield, United Kingdom. The firm invests in small and medium companies across United Kingdom.",View Investor Online
151381-45,Concentric Team,Paypercut,"Early Stage VC, Later Stage VC, Seed Round","Akrotiri and Dhekelia, Belarus, Bulgaria, Cyprus, Czech Republic, Hungary, Kosovo, Moldova, Northern Europe, Poland, Romania, Slovakia, Southern Europe, Ukraine, Western Europe",,,0.67 - 6.65,"Advanced Manufacturing, B2B Payments, FinTech, Industrials, Mobility Tech, Real Estate Technology, TMT","Commercial Products, Commercial Transportation, Financial Services, Logistics, Other Business Products and Services, Software",30,24,,1,6,28,Venture Capital,125.94,"London, United Kingdom",Actively Seeking New Investments,"Founded in 2013, Concentric Team is a venture capital firm based in London, United Kingdom. The firm seeks to invest in early-stage European technology businesses. The firm prefers to invest in software-driven technology businesses, financial services, mobility, real estate, industrial, and logistics sectors.",View Investor Online
